X(I),,,,
ARR_DATA(I),"Integral(5.990527,5.153547)",,,
0.000,1809.24,,,
182.000,2179.07,,,
364.000,1906.6,,,
546.000,2112.69,,,
728.000,2552.64,,,
909.000,5075.95,,,
1091.000,3146.17,,,
1273.000,6129.8,,,
1455.000,6759.63,,,
1637.000,7060.72,,,
1819.000,7761.44,,,
2001.000,8315.11,,,
2183.000,8744.84,,,
2364.000,9317.53,,,
2546.000,9850.24,,,
2728.000,10352.5,,,
2910.000,11920.8,,,
3092.000,12419.9,,,
3274.000,13577.3,,,
3456.000,14467.9,,,
3638.000,15473.2,,,
3820.000,16518.2,,,
4001.000,18380.4,,,
4183.000,19810.1,,,
4365.000,20285.1,,,
4547.000,21295.3,,,
4729.000,16786.6,,,
4911.000,17495.2,,,
5093.000,19351.3,,,
5275.000,19301.9,,,
5456.000,20794.9,,,
5638.000,20860.3,,,
5820.000,21497.2,,,
6002.000,22103.1,,,
6184.000,22339.8,,,
6366.000,23659.5,,,
6548.000,26034.2,,,
6729.000,33867.5,,,
6911.000,27412,,,
7093.000,26555,,,
7275.000,27852.3,,,
7457.000,28647.4,,,
7639.000,29590.5,,,
7821.000,29986.2,,,
8003.000,30822.8,,,
8185.000,32161.7,,,
8366.000,31894.4,,,
8548.000,34407.2,,,
8730.000,33997.2,,,
8912.000,34771.6,,,
9094.000,37035,,,
9276.000,37041.6,,,
9458.000,38185.4,,,
9640.000,38337.7,,,
9821.000,39250.7,,,
10003.000,41591.5,,,
10185.000,43222.6,,,
10367.000,43040.2,,,
10549.000,44036.2,,,
10731.000,45736.5,,,